Seed,Closest,Furthest,Average
693,1831.7346,38635.25,17985.912
694,1910.7552,35996.91,17338.338
695,1497.6108,39515.11,16944.328
696,1521.7327,38205.055,16776.496
697,1443.4965,39315.547,16903.064
698,1569.282,41023.27,18437.572
699,1850.6588,38373.11,17764.316
700,2199.1182,38695.48,17261.186
701,1437.5093,41285.684,18653.818
702,1285.4009,38164.61,16824.361
703,1856.5092,38420.383,17458.27
704,1356.8503,40377.625,18050.719
705,1589.4592,39258.082,17191.965
706,1533.2518,36027.793,17786.049
707,1962.813,38969.32,18354.955
708,1837.9818,35878.24,16483.672
709,1365.2065,39136.14,18169.213
710,1676.3506,40437.395,18196.623
711,1342.1041,35693.09,16441.646
712,1393.5571,39665.81,17710.72
713,1534.9615,39680.098,17323.578
714,1566.5555,38923.176,16998.455
715,1621.0405,39805.652,17421.055
716,1621.5115,36249.72,16064.645
717,1662.558,39341.652,17828.91
718,1381.3285,37990.418,16339.23
719,1485.0154,38213.54,17022.564
720,1500.3301,36294.8,17502.594
721,1131.0555,36385.9,17721.541
722,2101.5283,36743.42,17143.715
723,1779.0764,41634.184,18442.355
724,1764.8917,36568.914,16937.205
725,2016.3071,40646.14,18354.543
726,1091.4888,40206.363,19028.834
727,2033.228,39702.766,18161.21
728,1896.5751,40151.52,17707.164
729,1843.8315,40614.746,18541.799
730,1161.5706,38108.42,17797.367
731,1700.5021,37923.723,16934.209
732,1325.8528,39250.39,18008.635
733,1432.6208,37480.207,17482.031
734,1364.3613,38023.7,16742.857
735,1825.8049,35648.07,17536.785
736,1611.1055,36547.53,17299.527
737,1260.18,36349.254,16730.121
738,1562.923,38067.215,17793.96
739,1805.5847,37081.234,16604.498
740,1587.0542,37051.117,16989.408
741,1706.2704,41863.984,18599.871
742,1416.0256,37448.8,18030.438
743,1261.4125,38596.87,18028.148
744,1565.8182,36415.445,16831.004
745,1515.8429,36325.516,15890.708
746,1831.8501,38795.59,18046.86
747,1568.1233,39148.734,17594.918
748,1735.2373,37561.24,17215.89
749,1414.665,39779.637,17877.137
750,1671.3142,39283.492,18210.805
751,1471.7562,36391.363,17338.973
752,1670.5176,39830.992,18016.924
753,1383.5256,36804.016,17180.055
754,1129.7078,39339.633,17661.678
755,1388.0544,36848.64,17478.914
756,2001.8373,39462.254,19217.488
757,1869.2065,39502.043,18302.984
758,1580.6139,37740.453,16543.143
759,1572.2993,36800.535,16606.215
760,1960.3705,34376.824,16782.742
761,1415.471,39445.367,18122.148
762,1758.1257,39880.15,16535.174
763,1348.0325,36518.42,16964.16
764,1730.6625,38142.72,17813.082
765,2269.4756,36629.33,16614.957
766,1643.4132,38801.535,17746.67
767,1220.5948,37885.258,17023.586
768,1169.6161,38654.42,17575.305
769,1582.9813,38602.84,17661.66
770,1851.3416,39413.59,17801.053
771,1083.8143,40054.086,17957.135
772,2343.7751,37543.016,17421.744
773,1825.2966,38496.695,17736.102
774,1295.6597,35891.207,17140.545
775,1940.5262,37668.758,17811.363
776,1676.4684,38553.49,17352.06
777,2145.733,38437.88,17344.102
778,1907.6986,40734.203,18340.928
779,2249.0547,39219.58,18209.71
