Seed,Nearest A1,Furthest A1,Average A1,Nearest A2,Furthest A2,Average A2,Nearest A3,Furthest A3,Average A3,Nearest B1,Furthest B1,Average B1,Nearest B2,Furthest B2,Average B2,Nearest B3,Furthest B3,Average B3,Nearest C1,Furthest C1,Average C1,Nearest C2,Furthest C2,Average C2,Nearest C3,Furthest C3,Average C3,Overall Nearest,Overall Furthest,Overall Average
70018313,58.381393,15667.393,7660.9277,2515.207,14067.792,7777.0137,2439.0034,34872.25,16254.618,552.7892,19146.188,7620.8813,1557.4833,44400.375,17449.045,2587.4912,83609.5,38364.742,1265.5569,17140.031,6788.014,602.99927,19171.566,9299.359,2188.3027,31343.268,14472.17,1529.6904296875,31046.484375,13965.197265625
71208057,893.07623,15415.359,7134.0464,557.71387,17706.656,7486.967,1614.773,46774.83,17092.52,902.25964,17633.525,8853.984,1302.4413,41311.152,19090.246,2358.938,46480.793,22696.467,883.8408,19704.717,7754.9326,875.2562,32346.656,13354.73,2514.726,57403.33,21568.807,1322.558349609375,32753.001953125,13892.5224609375
71844029,769.3411,18852.078,7808.2344,684.62164,17105.918,8773.693,2080.4082,38363.65,19964.385,552.7892,19532.37,9096.62,1939.0211,30841.09,14575.028,2358.938,54502.953,21895.826,952.0078,17393.756,7266.4893,602.99927,34576.566,12953.125,4720.7456,46808.215,21679.764,1628.9857177734375,30886.2890625,13779.240234375
72397196,1069.9609,15718.679,7380.8564,451.2671,18776.38,7886.607,2259.7976,42105.414,18891.467,1067.9817,17603.627,8261.2295,712.7649,31312.621,15363.77,2450.8687,76685.56,27739.186,986.7734,16678.762,6820.732,1571.369,35966.926,10819.213,4474.684,52718.23,22102.906,1671.7186279296875,34174.0234375,13918.4404296875
75844795,1021.60736,13716.575,6685.586,884.71405,19071.697,8308.53,1576.9208,40937.17,18810.887,552.7892,17140.342,8555.775,712.7649,36290.082,17764.383,2765.4297,46676.918,23221.857,1165.9747,17134.814,7428.6304,508.18198,36423.496,12241.746,2302.5764,50767.387,20974.414,1276.773193359375,30906.498046875,13776.8671875
80794119,1611.2808,16355.112,7063.6655,594.3645,18174.662,8805.203,1875.2468,41270.79,20019.959,1514.4363,21311.756,9846.711,2805.4526,44902.07,19804.85,1304.2383,47714.86,23203.453,736.7304,12691.834,6387.625,726.72925,15739.1455,8130.236,986.3714,52532.996,22569.605,1350.5389404296875,30077.025390625,13981.2568359375
82059403,1184.6261,17310.516,8422.946,1211.3318,14640.539,6977.769,2080.4082,41232.203,17006.406,835.0474,21892.018,10916.906,3462.0125,45221.613,18086.562,4396.6694,67865.63,26890.639,851.5642,15304.017,6885.8223,999.19763,29156.816,10884.004,986.3714,48877.137,19411.328,1778.5809326171875,33500.0546875,13942.4873046875
83087213,1701.6381,16751.33,7169.372,1899.7556,15336.861,7571.804,544.84625,41096.37,16801.143,1304.9719,18765.73,8792.803,1302.4413,49020.99,18487.605,2587.4912,55475.598,24961.928,746.68866,19458.973,8863.263,586.8859,41306.65,11325.375,2685.5198,51016.184,21049.926,1484.470947265625,34247.6328125,13891.46875
83625608,769.3411,18886.322,8161.194,696.6657,19084.467,5908.372,1720.205,29531.088,13802.978,1146.6317,21215.025,10499.352,2608.3708,39422.914,18662.074,1328.9396,56285.6,27641.389,1473.6243,17579.795,8379.625,832.5928,26008.598,10528.176,2610.6094,47923.145,21376.13,1465.2200927734375,30659.662109375,13884.365234375
87021823,493.94028,15715.131,7396.8477,1477.4615,20562.91,9384.414,2080.4082,37225.543,18767.238,959.705,14943.674,7538.364,968.9345,43358.01,17606.361,2358.938,55198.81,26285.307,746.68866,14374.796,6494.9385,1320.8892,17910.885,8627.346,2839.5803,46398.19,23307.648,1471.83837890625,29520.8828125,13934.2734375
87105345,335.45334,16986.242,7287.951,351.33493,14585.292,5672.5522,1720.205,27755.768,12627.354,1225.2014,23722.297,11824.14,1700.62,43666.6,21972.443,1387.2133,78868.59,32746.812,600.1949,17987.346,7557.5796,602.99927,18648.44,8386.934,1097.6418,36762.19,17288.623,1002.3182373046875,30998.0859375,13929.376953125
89766564,751.2014,16485.434,7908.9385,1899.7556,17541.572,8895.102,1167.325,35511.902,13250.9,339.97147,22568.342,9537.908,1447.9717,46951.402,18260.498,3300.6365,81696.6,27841.045,511.36172,16549.602,6940.4565,1022.094,27282.236,10036.083,1097.6418,48741.074,21545.812,1281.9954833984375,34814.2421875,13801.8603515625
96683934,329.4593,16517.736,7419.9287,813.9617,19906.377,9708.2295,544.84625,27408.254,10253.969,958.8557,21978.744,12102.977,1945.232,47535.19,18553.77,2358.938,72702.99,29117.508,1205.5853,15597.943,6657.304,671.2177,42331.168,13238.5205,1450.505,41808.13,18811.695,1142.0667724609375,33976.28125,13984.8779296875
99677420,992.94543,14426.208,7146.639,1581.6572,18635.447,9477.867,1394.273,22937.201,10140.221,1100.7,19610.074,10919.538,1216.9216,42466.863,18502.08,1990.9056,53231.336,25025.58,600.1949,20550.047,9496.743,586.8859,15377.661,7015.2524,2839.5803,56553.46,25876.14,1367.1181640625,29309.810546875,13733.33984375
103032584,524.95953,16664.832,7137.181,649.6769,18963.412,7690.2417,1272.7865,25468.48,12803.332,1400.5938,21892.018,10041.281,3019.665,48091.086,21064.8,2548.4824,59994.71,29252.496,746.68866,20550.047,7859.2925,586.8859,24923.945,11247.941,2639.7498,56078.477,18815.77,1487.720947265625,32514.111328125,13990.259765625
105197338,750.20514,16003.677,7027.441,1114.1251,15264.698,8143.712,2801.4956,44384.61,18763.191,2071.6538,19515.332,9765.722,979.805,43132.395,21393.482,4232.322,50530.574,25791.186,892.31244,15582.792,7138.861,739.2845,33205.78,9608.155,3415.6187,37741.168,17304.447,1888.5357666015625,30595.669921875,13881.7998046875
105632343,1052.0499,15086.997,7820.3887,1100.4468,19883.38,9659.252,1272.7865,37737.41,14184.366,777.9946,23738.834,10271.288,3933.4172,45991.78,21314.773,1328.9396,46116.31,21808.373,1140.263,18332.898,7636.3647,1249.1888,18451.51,9163.189,2330.51,49342.13,23698.871,1576.1773681640625,30520.138671875,13950.7626953125
110477099,693.6214,15432.982,6820.343,854.38324,20536.166,9534.8,1167.325,29664.25,14540.293,321.58444,21098.248,10752.884,3258.0105,48017.87,21578.273,4093.65,52934.01,25014.414,1013.1553,13891.616,6231.3154,1267.9215,19617.445,9229.248,2514.726,57062.42,21364.355,1687.153076171875,30917.22265625,13896.2138671875
112336924,335.45334,13170.804,5094.0347,1343.4896,16119.532,7355.4375,2673.398,40237.1,20224.38,1138.8625,17106.605,8186.6733,1230.5092,44186.605,22117.639,891.37085,54470.91,26054.666,856.1386,14807.763,6942.896,1849.0874,37039.76,13796.364,986.3714,40288.09,15009.153,1256.07568359375,30825.2421875,13864.5830078125
114827133,1106.0723,15718.679,7105.145,1834.9972,20468.43,8625.6455,2049.2893,39333.38,17141.102,1321.5519,23738.834,11044.208,2939.5356,39573.87,20031.773,1878.3289,60576.176,28672.66,771.57196,15889.105,8039.304,508.18198,20518.236,8397.936,1097.6418,42343.023,16934.588,1500.7967529296875,30906.63671875,13999.1513671875
118418626,1002.7051,12328.524,6324.4014,1094.3628,19894.293,9458.701,1523.7686,39831.715,17986.475,1122.4589,17909.22,9624.916,1302.4413,35060.79,16862.281,1990.9056,75984.03,26592.752,688.1423,17131.443,6973.666,775.8431,18526.068,8227.651,3006.0457,54471.426,23690.447,1389.63037109375,32348.61328125,13971.2548828125
119673127,226.15782,16900.852,7768.7915,703.5761,19086.615,9359.471,1167.325,34656.855,16405.57,255.08127,22789.45,9463.8125,712.7649,34547.664,16346.928,1328.9396,55198.81,25997.562,1364.8511,17223.771,7567.283,602.99927,18425.562,8123.3374,1818.2278,50246.684,23791.568,908.8803100585938,29897.36328125,13869.369140625
122236160,1262.5984,15158.706,7571.5356,2074.576,20422.887,9909.975,1576.9208,29424.703,14752.687,1601.7953,20898.865,9950.24,3858.6018,37879.53,17357.35,3513.7537,67307.77,27798.05,688.1423,15198.759,6555.557,1574.8005,42606.77,14634.786,1097.6418,40229.902,17049.969,1916.5367431640625,32125.322265625,13953.349609375
123762032,992.94543,17672.371,7690.73,1495.1248,17570.027,8836.872,1167.325,35511.902,16692.717,1138.8625,19757.402,9885.919,2588.0098,43166.906,19075.469,2577.9634,49107.758,26234.846,1963.5096,16859.814,7918.9385,999.19763,27938.91,10368.254,1123.5166,44067.145,17977.271,1560.7171630859375,30183.58203125,13853.4462890625
125385821,427.66837,15691.317,6940.6396,758.795,14865.337,7574.0737,544.84625,39732.926,20329.86,1146.6317,19757.402,10208.662,1795.0695,27341.805,14480.225,891.37085,52501.344,26087.143,1165.9747,16121.205,7959.7603,786.49695,19023.875,8586.723,2188.3027,48718.676,22997.898,1078.3507080078125,28194.876953125,13907.220703125
126233515,697.2505,14099.3955,7309.3325,732.99316,19071.697,9755.599,2388.3477,33414.85,16658.352,827.5637,21555.986,9718.735,2218.794,44441.027,18781.21,1328.9396,52634.902,28470.498,892.31244,15954.637,6833.473,1163.3073,26944.969,9744.664,2639.7498,40201.508,17549.95,1432.1397705078125,29813.21875,13869.0908203125
127300442,563.0569,16373.049,8836.464,451.2671,19084.467,8139.142,1671.031,34872.25,16073.363,2061.731,20928.883,10050.556,1269.4421,42755.434,21145.355,3716.221,49433.96,25588.64,654.4817,19704.717,6405.5737,1095.7563,43577.508,11761.517,986.3714,36696.75,17457.945,1385.4842529296875,31491.890625,13939.83984375
129121214,918.49664,17469.582,8305.655,1990.5549,16224.851,7954.443,2282.402,32620.875,13910.196,1337.487,21976.7,10595.512,2848.1953,50857.254,22201.74,2577.9634,50633.137,23430.594,1486.3057,16549.41,8023.426,1022.094,32519.605,11078.788,2514.726,43807.17,20358.656,1886.469482421875,31406.509765625,13984.333984375
130185950,524.95953,14759.885,7116.47,684.62164,15633.647,7277.8647,3551.8545,47260.816,16883.963,261.48605,15189.672,6647.8647,890.75684,43356.723,18159.066,2450.8687,74281.67,30117.678,1382.7338,19704.717,9193.213,564.9411,18276.234,8662.762,2610.6094,59141.332,21737.943,1435.8701171875,34178.30078125,13977.4248046875
132994288,330.55215,15159.367,6817.357,1576.9539,17093.727,8469.993,2282.402,43335.785,18658.906,255.08127,20695.55,7909.192,2491.9119,48839.426,23214.37,1328.9396,46638.152,24046.752,1410.9667,15903.406,7109.3804,564.9411,33693.9,12252.526,2397.897,37472.664,16634.22,1404.405029296875,30981.330078125,13901.4111328125
133232527,1534.2777,18819.26,7762.438,696.6657,17135.89,7667.0146,3180.096,36726.754,16792.104,552.7892,18425.23,8478.639,712.7649,46710.105,20066.014,1990.9056,52900.45,24853.42,490.6575,15130.329,6944.53,1307.921,39985.516,12190.006,2685.5198,43333.31,20769.518,1461.28857421875,32129.6484375,13947.076171875
