Seed,Closest,Furthest,Average
541891153,1319.7047,32938.785,13985.3125
544029792,1038.4497,30287.191,13172.783
544992981,1487.2886,28799.28,13754.848
547558878,1266.0073,31702.219,13605.176
548926489,1477.368,29983.104,13932.84
551037901,1227.373,30373.594,13682.595
551068826,1356.1979,32060.143,13935.813
552413419,1380.8153,27102.988,13330.621
554733015,1071.592,29454.111,13651.811
557178316,1143.502,33946.97,13992.939
557601210,1618.0977,30328.367,13082.033
559212560,1437.7925,31233.875,13973.275
560206853,1456.3438,31539.164,13971.36
560870744,1836.2622,31371.371,13874.083
565867240,1588.9185,32566.219,13953.6045
568347484,1101.2593,32590.99,13998.449
569031506,1559.7181,30821.098,13821.695
569109055,1382.2677,32274.271,13849.179
569776019,1102.0674,28947.145,13716.934
570100405,1344.5819,32016.924,13972.229
570855603,920.2411,32521.861,13856.09
571247035,1268.0693,30649.586,13927.183
575601750,1127.957,32688.979,13535.97
576063062,1406.4615,32230.445,13830.885
578968534,1005.834,33474.375,13907.649
582991639,1382.6638,33950.105,13987.276
583254207,1505.8689,29878.188,13970.43
585571227,1208.7983,31343.83,13948.351
587821762,1426.2117,29226.344,13570.036
590520715,1236.5243,31977.959,13783.723
591327629,893.8609,33307.42,13971.375
592654239,1420.8698,30994.322,13709.912
594994286,1586.4551,31950.902,13639.559
598001343,1244.2931,31664.447,13716.543
599954264,1227.3988,29948.781,13687.376
600218430,1531.4005,30592.174,13922.647
602651612,1153.4025,33692.355,13880.359
604226568,1289.5151,33279.023,13875.913
607046122,1591.1549,33397.234,13830.551
609233257,1354.8077,31591.701,13951.865
610119860,1344.5791,31711.361,13972.823
610240160,942.8262,32426.375,13837.549
610406780,1271.9421,34529.75,13934.641
611975782,1472.0231,33203.824,13834.078
612134666,1054.3226,30674.586,13464.461
613230257,1363.2155,30244.25,13467.44
614918793,1625.8516,33161.62,13954.67
615859054,1083.7849,30239.844,13718.182
620299776,906.2634,32475.934,13985.536
621802852,1209.8145,33107.082,13922.312
624648272,1645.1978,29639.17,13811.723
631181954,1075.1748,32624.562,13743.147
632663190,1394.6473,32503.902,13919.316
633587671,1178.2917,36129.227,13965.52
635854104,1370.4655,31865.107,13935.642
640100734,1144.8893,31999.875,13972.062
643617712,1014.68176,31491.688,13729.379
652024717,1250.6958,30979.184,13992.516
655289904,1223.5651,29561.562,13589.069
660147925,1061.8027,33076.016,13870.21
663262221,1631.7115,29843.34,13575.989
664353397,1389.8793,32099.455,13816.337
